service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,1,0,20170220,20170528
2,0,0,0,0,0,0,1,20170220,20170528
3,1,1,1,1,1,0,0,20170220,20170528
7802,0,0,0,0,0,0,0,20170220,20170528
7902,0,0,0,0,0,0,0,20170220,20170528
6302,0,0,0,0,0,0,0,20170220,20170528
6902,0,0,0,0,0,0,0,20170220,20170528
9002,0,0,0,0,0,0,0,20170220,20170528
8902,0,0,0,0,0,0,0,20170220,20170528
9503,0,0,0,0,0,0,0,20170220,20170528
9603,0,0,0,0,0,0,0,20170220,20170528
9203,0,0,0,0,0,0,0,20170220,20170528
9103,0,0,0,0,0,0,0,20170220,20170528
9303,0,0,0,0,0,0,0,20170220,20170528
9403,0,0,0,0,0,0,0,20170220,20170528
11803,0,0,0,0,0,0,0,20170220,20170528
11703,0,0,0,0,0,0,0,20170220,20170528
